numero_ocorrencia_associado;ano_fato;mes_numerico_fato;boa;buracos;material_na_pista;ondulada;outras_no_historico;rachadura;sulcos_horizontais;verificacao
1bb73d5b2cca9b6f;2023;7;Sim;Não;Não;Não;Não;Não;Não;1bb73d5b2cca9b6f-Sim-Não-Não-Não-Não-Não-Não
eddf1372e28d195b;2023;5;Sim;Não;Não;Não;Não;Não;Não;eddf1372e28d195b-Sim-Não-Não-Não-Não-Não-Não
499633e3a39b9085;2023;3;Sim;Não;Não;Não;Não;Não;Não;499633e3a39b9085-Sim-Não-Não-Não-Não-Não-Não
64cf5358eb7af593;2023;3;Sim;Não;Não;Não;Não;Não;Não;64cf5358eb7af593-Sim-Não-Não-Não-Não-Não-Não
a07387b030b258bc;2023;8;Sim;Não;Não;Não;Não;Não;Não;a07387b030b258bc-Sim-Não-Não-Não-Não-Não-Não
cccd78abfed5493c;2023;12;Não;Não;Não;Não;Sim;Não;Não;cccd78abfed5493c-Não-Não-Não-Não-Sim-Não-Não
fe736d6fa6bd224b;2023;12;Sim;Não;Não;Não;Não;Não;Não;fe736d6fa6bd224b-Sim-Não-Não-Não-Não-Não-Não
75f7a10665024728;2023;12;Sim;Não;Não;Não;Não;Não;Não;75f7a10665024728-Sim-Não-Não-Não-Não-Não-Não
3f2e399fe7c98850;2023;12;Sim;Não;Não;Não;Não;Não;Não;3f2e399fe7c98850-Sim-Não-Não-Não-Não-Não-Não
5552654a3d4efac2;2023;12;Sim;Não;Não;Não;Não;Não;Não;5552654a3d4efac2-Sim-Não-Não-Não-Não-Não-Não
324f7108064ef43f;2023;3;Sim;Não;Não;Não;Não;Não;Não;324f7108064ef43f-Sim-Não-Não-Não-Não-Não-Não
51de6275d3b7ddd4;2023;3;Sim;Não;Não;Não;Não;Não;Não;51de6275d3b7ddd4-Sim-Não-Não-Não-Não-Não-Não
906b8a0e9221f8b6;2023;3;Sim;Não;Não;Não;Não;Não;Não;906b8a0e9221f8b6-Sim-Não-Não-Não-Não-Não-Não
8aa376a356a9f7fb;2023;5;Sim;Não;Não;Não;Não;Não;Não;8aa376a356a9f7fb-Sim-Não-Não-Não-Não-Não-Não
12269525ac7d694e;2023;7;Sim;Não;Não;Não;Não;Não;Não;12269525ac7d694e-Sim-Não-Não-Não-Não-Não-Não
cdb0796ceda7394b;2023;7;Sim;Não;Não;Não;Não;Não;Não;cdb0796ceda7394b-Sim-Não-Não-Não-Não-Não-Não
49a08598f1f97882;2023;7;Sim;Não;Não;Não;Não;Não;Não;49a08598f1f97882-Sim-Não-Não-Não-Não-Não-Não
b40f00625dcbc60e;2023;7;Sim;Não;Não;Não;Não;Não;Não;b40f00625dcbc60e-Sim-Não-Não-Não-Não-Não-Não
b556702e4185fc07;2023;4;Sim;Não;Não;Não;Não;Não;Não;b556702e4185fc07-Sim-Não-Não-Não-Não-Não-Não
7d159a380200e7f8;2023;4;Sim;Não;Não;Não;Não;Não;Não;7d159a380200e7f8-Sim-Não-Não-Não-Não-Não-Não
6415feae08eaa714;2023;4;Sim;Não;Não;Não;Não;Não;Não;6415feae08eaa714-Sim-Não-Não-Não-Não-Não-Não
0935c78d074e603e;2023;9;Não;Não;Não;Não;Sim;Não;Não;0935c78d074e603e-Não-Não-Não-Não-Sim-Não-Não
bd4002daf5554221;2023;9;Não;Não;Não;Sim;Não;Não;Não;bd4002daf5554221-Não-Não-Não-Sim-Não-Não-Não
b7783589683ed7fd;2023;5;Não;Não;Não;Não;Sim;Não;Não;b7783589683ed7fd-Não-Não-Não-Não-Sim-Não-Não
616c14739a012415;2023;5;Sim;Não;Não;Não;Não;Não;Não;616c14739a012415-Sim-Não-Não-Não-Não-Não-Não
c0904e34a72d67d7;2023;1;Sim;Não;Não;Não;Não;Não;Não;c0904e34a72d67d7-Sim-Não-Não-Não-Não-Não-Não
9ef5c077b1571ef8;2023;2;Sim;Não;Não;Não;Não;Não;Não;9ef5c077b1571ef8-Sim-Não-Não-Não-Não-Não-Não
b5fbf5328ed9b225;2023;2;Sim;Não;Não;Não;Não;Não;Não;b5fbf5328ed9b225-Sim-Não-Não-Não-Não-Não-Não
99123d774f61bd52;2023;2;Não;Sim;Não;Sim;Não;Não;Não;99123d774f61bd52-Não-Sim-Não-Sim-Não-Não-Não
d07386bce6a6efdf;2023;2;Não;Não;Não;Sim;Não;Não;Não;d07386bce6a6efdf-Não-Não-Não-Sim-Não-Não-Não
58130622526a9bd1;2023;2;Sim;Sim;Não;Não;Não;Não;Não;58130622526a9bd1-Sim-Sim-Não-Não-Não-Não-Não
77b1aaf7c6cae48d;2023;2;Sim;Não;Não;Não;Não;Não;Não;77b1aaf7c6cae48d-Sim-Não-Não-Não-Não-Não-Não
f2da073ff48a8c7e;2023;2;Sim;Não;Não;Não;Não;Não;Não;f2da073ff48a8c7e-Sim-Não-Não-Não-Não-Não-Não
ca0d20ac263d66b5;2023;2;Sim;Não;Não;Não;Não;Não;Não;ca0d20ac263d66b5-Sim-Não-Não-Não-Não-Não-Não
d37321f41e21d24f;2023;12;Não;Não;Não;Sim;Não;Sim;Não;d37321f41e21d24f-Não-Não-Não-Sim-Não-Sim-Não
3fd5223a819db37b;2023;12;Sim;Não;Não;Não;Não;Não;Não;3fd5223a819db37b-Sim-Não-Não-Não-Não-Não-Não
0dfdccb90ab3946f;2023;6;Sim;Não;Não;Não;Não;Não;Não;0dfdccb90ab3946f-Sim-Não-Não-Não-Não-Não-Não
a144789cc39a6574;2023;2;Sim;Não;Não;Não;Não;Não;Não;a144789cc39a6574-Sim-Não-Não-Não-Não-Não-Não
0e11871e3bd33aa4;2023;2;Sim;Não;Não;Não;Não;Não;Não;0e11871e3bd33aa4-Sim-Não-Não-Não-Não-Não-Não
d33b875098deb5ee;2023;2;Sim;Não;Não;Não;Não;Não;Não;d33b875098deb5ee-Sim-Não-Não-Não-Não-Não-Não
841c8ac5dc5f6819;2023;10;Sim;Não;Não;Não;Não;Não;Não;841c8ac5dc5f6819-Sim-Não-Não-Não-Não-Não-Não
